Epoch	Train Loss	Train Acc	Test Loss	Test Acc	Epoch Time
1	1.5897	37.00	1.4839	29.33	42.13
2	1.4017	52.86	1.1538	64.67	41.94
3	1.2323	64.14	1.0558	59.33	40.89
4	1.0693	75.14	0.8881	78.33	42.54
5	0.9186	84.57	0.8196	83.33	40.85
6	0.7892	88.57	0.7459	90.67	41.11
7	0.6855	92.00	0.5079	96.67	42.60
8	0.5848	95.86	0.4446	97.33	41.52
9	0.5648	93.00	0.4316	94.33	42.39
10	0.5075	95.29	0.3698	95.67	42.31
11	0.4694	95.29	0.2955	98.33	41.17
12	0.4268	96.86	0.2409	99.00	41.07
13	0.4178	96.43	0.2209	98.67	42.00
14	0.3708	97.71	0.2233	98.33	41.34
15	0.3859	97.00	0.2136	98.67	41.43
16	0.3639	97.57	0.2118	98.67	41.60
17	0.3618	96.14	0.1545	99.33	43.39
18	0.3306	97.43	0.1675	99.33	41.57
19	0.3051	97.86	0.1751	98.67	41.93
20	0.2976	97.43	0.1195	98.67	41.34
21	0.2672	98.71	0.1148	99.33	40.67
22	0.2833	97.43	0.1277	98.67	40.20
23	0.3129	97.29	0.0967	99.00	40.72
24	0.2779	97.86	0.1285	98.67	42.51
25	0.2830	97.71	0.1121	99.33	41.34
26	0.2764	97.00	0.1071	98.33	42.02
27	0.2459	98.43	0.0880	99.33	40.65
28	0.2381	98.14	0.1001	98.67	42.12
29	0.2387	98.00	0.0779	99.00	42.80
30	0.2320	98.43	0.0977	99.33	40.85
31	0.2530	98.29	0.0717	99.00	41.47
32	0.2338	98.29	0.0697	98.67	40.54
33	0.1990	99.14	0.0890	98.67	41.29
34	0.2157	98.43	0.0902	98.67	42.00
35	0.2562	98.00	0.0932	98.33	41.98
36	0.2120	98.86	0.0631	99.00	41.35
37	0.2076	98.71	0.0522	99.67	41.34
38	0.1898	98.71	0.1469	96.67	42.27
39	0.2021	98.71	0.0661	99.00	41.46
40	0.2021	99.00	0.0970	99.33	42.15
